Column1,Column2
,0
0,특수학교 음악교육의 실태조사 연구와 개선방안 : 초·중·고 특수학교를 중심으로 = An Investigative Study on Music Education Status in Special-education Schools and Improvement Plan for it
1,유아특수교육 교사의 직무수행능력 기준 개발 = Developing Criteria for Competency of Early Childhood Special Education Teachers
2,한국 특수학교 특별활동 교육과정 변천 = (The) change of curriculum in special school's extracurricular activities of Korea
3,유아특수 교육기관의 부모교육 프로그램에 대한 부모.교사의 요구조사 = (A) survey about needs of teachers and parents for implementation of parent education program in early childhood special education programs
4,중학교 통합교육에 따른 일반 학생의 특수학급 학생에 대한 수용태도 = (A) receptive attitude of the general education students toward the special class students in the integrated middle school
5,정신지체 특수학교 직업교육 실태와 교사·부모 인식 = The actual conditions of vocational education in special school for mentally retarded children and the awareness of teachers and parents
6,교육부 지원  특수학교 학생오케스트라의  현황과 실태조사 연구 = A Study on the Current Status of Student Orchestras in Special Schools Supported by Ministry of Education
7,특수학교와 특수학급의 교육비 비교연구
8,장애유아 중재전략에 관한 유아특수교육 추천실제의 실행수준에 대한 유아특수교사의 자가평가 = Teacher Evaluation of the Child-Focused Recommended Practices in Early Childhood Special Education Programs
9,특수교육 보조원제의 운영 및 지원에 대한 통합학급교사와 특수교육교사의 요구분석
10,초등특수교사의 건강과 교육과정에 대한 관심과 적용 : 제7차 건강과 교육과정을 중심으로 = Teachers' Interests and Applications Toward Physical Education Curriculum in Elementary Special Schools : Focused on the 7th Physical Education Curriculum
11,특수교육대상자 학부모의 고등학교 특수교육기관 선택요인 분석 = Analysis of Selection Factors for Parents of Students with Special Needs about Highschool Placement Type
12,학습장애아동 통합교육에 대한 초등학교 일반교사와 특수교사의 태도 비교 = (A) Comparative study of regular and special education teachers'attitudes toward inclusion of elementary students with learning disabilities
13,유아특수교육기관 유형별 장애유아 부모교육에 관한 연구 = (A) study on parent education for parents of children with disabilities according to different types of early childhood special education programs
14,통합교육을 위한 특수학교 건축설계연구 : 중복장애를 고려한 정신지체아를 중심으로 = A Study on the Design of Special Education Facilities for Integrated Education
15,유아특수교육기관의 활성화를 위한 부모의 요구 및 개선방안 = Parent's Demand for Activationg Management of Early Childhood Special Educational Institutions
16,특수교육 재정의 문제점과 개선방안 : 전라남도를 중심으로 = (The) Problems of special education finances and the plan for it's improvement : For the case of jeonnam province
17,초등학교 특수학급 교육과정 편성 및 운영에 관한 조사 연구 = (A) Study on the Construction and Implementation of Curriculum for Elementary Special Class
18,장애영아 무상교육 실시에 따른 교육 및 시설·설비 지원에 대한 유아특수교사와 장애영아 부모의 인식
19,중국의 특수교사 교육체제 실태 및 교사의 인식 = Current conditions and teachers' perceptions of China's special education teacher education system
20,특수교육의 총체적 질 관리에 대한 특수교사의 인식 = (A) study on elementary special teacher' perception of the total quality management of the special education
21,初等學校 障碍學生을 위한 特殊學級 敎育課程 適用 實態 分析
22,統合敎育 經驗에 따른 一般 初等學生의 特殊學級 學生에 대한 受容態度 比較
23,초등학교 특수교육보조원제에 관한 질적 사례 연구 = (A)Qualitative study on the para-educator system for special education in elementary school
24,重度ㆍ重複 障碍學生의 特殊學敎 敎育課程 模型에 관한 硏究 = (A) Study on the Curriculum Medel for Severely and Multiply Disabled Learners in Special Education
25,특수교육 유치원 과정 의무교육 시행에 관한 일반 유치원 관리자 및 교사의 인식 연구 = The Study of Kindergarten Director's and Teacher's Recognition on the Compulsory Early Childhood Special Education
26,초등학교 통합교육에 대한 특수교사와 일반교사의 인식 = Special and Regular Education Teachers' Perception of Elementary Inclusion
27,햅틱디스플레이 기반의 시각장애 특수교육 보조공학시스템 설계 및 구현 = Design and Implementation of Special Education Assistive Technology System based on Haptic-Display for Visually Impairments.
28,특수교육 연수 여부에 따른 ADHD에 대한 교사 인식 연구 : 중등교사를 중심으로
29,통합교육에 관한 초등학교 일반교사와 특수교사의 인식차이
30,幼兒統合敎育에 대한 特殊敎師와 一般敎師의 認識에 관한 硏究 = (A) study on cognition of special education teacher & early childhood teacher to childhood integration
31,특수학교 학생들의 컴퓨터교육을 위한 새로운 교수-학습법 적용과 평가 = Application and evaluation of new teaching-learning methods for computer education of students in special school
32,특수학교 전환교육 실행수준과 촉진방안 = (The)study on level of implementation and improvement plan of transition education in special schools
33,중학교 특수학급 교사의 국어과 교육과정 편성 및 운영에 대한 요구 조사
34,특수아동의 통합교육에 대한 교사변인에 따른 일반교사의 태도 연구 = (A) Study of Regular Teachers' Attitude toward Mainstreaming according to Teachers' Background Variables
35,유아특수교육기관의 현장견학 실시에 관한 연구 = (A) Study on the Field Trip Activities In the Special Education Institutions for Young Children
36,중학교 특수학급 수학교육 실태분석 = A Survey on Mathematics Education in the middle School Special-Need Classrooms
37,"특수교육 관련서비스에 대한 부모교육프로그램이 발달지체유아 부모의 양육효능감, 가족역량강화, 가족 삶의 질에 미치는 영향"
