,0
0,특수
1,학교
2,음악
3,교육
4,실태
5,조사
6,연구
7,개선
8,방안
9,특수
10,학교
11,중심
12,유아
13,특수교육
14,교사
15,직무
16,수행
17,능력
18,기준
19,개발
20,한국
21,특수
22,학교
23,특별활동
24,교육과정
25,변천
26,유아
27,특수
28,교육
29,기관
30,부모
31,교육
32,프로그램
33,대한
34,부모
35,교사
36,구조사
37,중학교
38,통합교육
39,일반
40,학생
41,특수
42,학급
43,학생
44,대한
45,수용
46,태도
47,정신지체
48,특수
49,학교
50,직업
51,교육
52,실태
53,교사
54,부모
55,인식
56,교육부
57,지원
58,특수
59,학교
60,학생
61,오케스트라
62,현황
63,실태
64,조사
65,연구
66,특수
67,학교
68,특수
69,학급
70,교육비
71,비교
72,연구
73,장애
74,유아
75,중재
76,전략
77,유아
78,특수교육
79,추천
80,실제
81,실행
82,수준
83,대한
84,유아
85,특수
86,교사
87,자가
88,평가
89,특수교육
90,보조
91,제의
92,운영
93,지원
94,대한
95,통합
96,학급
97,교사
98,특수교육
99,교사
100,요구분석
101,초등
102,특수
103,교사
104,건강
105,교육과정
106,대한
107,관심
108,적용
109,건강
110,교육과정
111,중심
112,특수교육
113,대상자
114,학부모
115,고등학교
116,특수교육
117,기관
118,선택
119,요인
120,분석
121,학습장애
122,아동
123,통합교육
124,대한
125,초등학교
126,교사
127,특수
128,교사
129,태도
130,비교
131,유아
132,특수교육
133,기관
134,유형
135,장애
136,유아
137,부모
138,교육
139,연구
140,통합교육
141,특수
142,학교
143,건축
144,설계
145,연구
146,중복
147,장애
148,고려
149,정신지체
150,중심
151,유아
152,특수교육
153,기관
154,활성화
155,부모
156,요구
157,개선
158,방안
159,특수교육
160,재정
161,문제점
162,개선
163,방안
164,전라남도
165,중심
166,초등학교
167,특수
168,학급
169,교육과정
170,편성
171,운영
172,조사
173,연구
174,장애
175,영아
176,무상교육
177,실시
178,교육
179,시설
180,설비
181,지원
182,대한
183,유아
184,특수
185,교사
186,장애
187,영아
188,부모
189,인식
190,중국
191,특수
192,교사
193,교육
194,체제
195,실태
196,교사
197,인식
198,특수교육
199,체적
200,관리
201,대한
202,특수
203,교사
204,인식
205,대한
206,초등학교
207,특수교육
208,보조
209,원제
210,질적
211,사례
212,연구
213,특수교육
214,유치원
215,과정
216,의무교육
217,시행
218,일반
219,유치원
220,관리자
221,교사
222,인식
223,연구
224,초등학교
225,통합교육
226,대한
227,특수
228,교사
229,교사
230,인식
231,햅틱
232,디스플레이
233,기반
234,시각장애
235,특수교육
236,보조공학
237,시스템
238,설계
239,구현
240,특수교육
241,연수
242,여부
243,대한
244,교사
245,인식
246,연구
247,중등
248,교사
249,중심
250,통합교육
251,초등학교
252,교사
253,특수
254,교사
255,인식
256,차이
257,대한
258,특수
259,학교
260,학생
261,컴퓨터
262,교육
263,새로운
264,교수
265,학습
266,적용
267,평가
268,특수
269,학교
270,전환
271,교육
272,실행
273,수준
274,촉진
275,방안
276,중학교
277,특수
278,학급
279,교사
280,국어
281,교육과정
282,편성
283,운영
284,대한
285,요구
286,조사
287,특수
288,아동
289,통합교육
290,대한
291,교사
292,변인
293,교사
294,태도
295,연구
296,유아
297,특수교육
298,기관
299,현장
300,견학
301,실시
302,연구
303,중학교
304,특수
305,학급
306,수학
307,교육
308,실태
309,분석
310,특수교육
311,관련
312,서비스
313,대한
314,부모
315,교육
316,프로그램
317,발달
318,지체
319,유아
320,부모
321,효능
322,가족
323,역량
324,강화
325,가족
326,미치는
327,영향
328,한국
329,특수교육
330,장학
331,행정
332,개선
333,연구
334,특수
335,학교
336,교사
337,행복한
338,교육
339,경험
340,대한
341,기대
342,인식
343,등교
344,사의
345,통합교육
346,경험
347,특수
348,교사
349,자격
350,유무
351,장애
352,아동
353,수용
354,태도
355,비교
356,특수교육
357,교사
358,교육과정
359,접근
360,대한
361,인식
362,수업
363,문화
364,특수
365,학교
366,교사
367,인식
368,특수
369,학교
370,안전교육
371,실태
372,요구
373,초등
374,특수
375,학급
376,학생
377,교사
378,특수교육
379,관련
380,서비스
381,욕구
382,실태
383,조사
384,완전
385,통합
386,환경
387,특수교육
388,대상
389,유아
390,바깥
391,시설
392,운영
393,실태
394,조사
395,서울
396,지역
397,공립
398,유치원
399,중심
400,고등학교
401,장애
402,학생
403,직업
404,교육
405,운영
406,대한
407,특수
408,교사
409,인식
410,한국
411,특수교육
412,미래
413,지향
414,정책
415,결정
416,연구
417,고등학교
418,특수
419,학급
420,고등교육
421,기관
422,진학
423,지도
424,실태
425,분석
426,지체
427,장애
428,특수
429,학교
430,컴퓨터
431,교육
432,실태
433,교수
434,효능
435,연구
436,특수
437,아동
438,대상
439,영양
440,교육
441,요구
442,조사
443,영양
444,교사
445,연수
446,프로그램
447,개발
448,특수
449,학급
450,교사
451,직무
452,스트레스
453,교육
454,만족도
455,미치는
456,영향
457,강원도
458,초등학교
459,특수
460,학급
461,교사
462,중심
463,특수교육
464,재정
465,개선
466,방안
467,서울특별시
468,중심
469,초등학교
470,교사
471,특수
472,아동
473,통합교육
474,태도
475,연구
476,고등학교
477,특수
478,학급
479,학생
480,지역
481,사회
482,통합
483,준비
484,교육과정
485,운영
486,실태
487,교사
488,인식
489,비교
490,연구
491,특수
492,학급
493,교사
494,원적
495,학급
496,교사
497,중심
498,특수
499,학교
500,음악
501,교육
502,실태
503,방법
504,연구
505,서울
506,지역
507,특수
508,학교
509,중심
510,유아
511,특수교육
512,관련
513,전문가
514,유아
515,안전
516,인식
517,조사
518,특수교육
519,대상
520,학생
521,과학
522,교육
523,과학
524,유창
525,대한
526,비판
527,문화
528,기술
529,연구
530,자기
531,결정
532,대한
533,특수교육
534,교사
535,중요도
536,인식
537,교수
538,실행
539,조사
540,교육사상
541,특수교육
542,탐색
543,통합교육
544,협력
545,교수
546,유형
547,협력
548,정도
549,대한
550,교사
551,특수
552,교사
553,인식
554,특수교육
555,보조
556,원제
557,운영
558,대한
559,특수
560,교사
561,특수교육
562,보조
563,인식
564,충청남도
565,지역
566,중심
567,통합교육
568,실행
569,협력
570,교사
571,역할
572,대한
573,서울시
574,특수
575,교사
576,통합
577,학급
578,교사
579,필요
580,인식
581,실행
582,비교
583,특수교육
584,보조
585,역할
586,갈등
587,관리
588,방안
589,인천광역시
590,지체
591,부자유
592,학교
593,중심
594,초등학교
595,일반
596,학급
597,영재
598,학급
599,특수
600,학급
601,학부모
602,교육
603,환경
604,만족도
605,초등학교
606,특수
607,학급
608,아동
609,교육
610,진단
611,평가
612,실태
613,개선
614,방안
615,초등학교
616,학습
617,부진
618,학생
619,지도
620,교육
621,특수교육
622,간의
623,긴장
624,관계
625,대한
626,연구
627,특수
628,수학
629,교육
630,지도
631,방안
632,연구
633,특수교육
634,보조
635,역할
636,대한
637,특수
638,교사
639,특수교육
640,보조
641,인식
642,비교
643,특수교육
644,교육과정
645,중심
646,통합교육
647,시설
648,환경
649,개선
650,방안
651,연구
652,인천
653,고등학교
654,중심
655,특수
656,통합교육
657,협동
658,체제
659,활성화
660,연구
661,특수
662,학급
663,전통음악
664,방과
665,교육
666,실태
667,조사
668,연구
669,용인
670,지역
671,초등학교
672,중심
673,개정
674,특수교육
675,기본
676,교육과정
677,국어
678,비교
679,특수교육
680,관련
681,종사
682,장애
683,이미지
684,장애
685,원인
686,서비스
687,방법
688,대한
689,인식
690,비교
691,특수
692,학교
693,차원
694,긍정
695,행동
696,지원이
697,장애
698,학생
699,행동
700,개별
701,교육
702,목표
703,성취
704,학생
705,행동
706,관리
707,대한
708,교사
709,인식
710,미치는
711,영향
712,유아
713,통합
714,학급
715,특수교육
716,보조
717,실태
718,유아
719,특수
720,교사
721,통합
722,담당
723,교사
724,인식
725,특수교육
726,무용
727,교수
728,행동
729,사례
730,분석
731,특수교육
732,교원
733,정책
734,개선
735,방안
736,대한
737,연구
738,특수
739,아동
740,개인
741,교육과정
742,수정
743,사례
744,연구
745,교육인적자원부
746,접수
747,유아
748,특수교육
749,관련
750,민원
751,연구
752,정신지체
753,특수
754,학교
755,활용
756,교육
757,대한
